LOG FILE CREATED: 8/30/2022 12:04:21 AM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/30/2022 12:04:21 AM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/30/2022 12:05:21 AM
Exception "This is a test" thrown at 8/30/2022 12:06:23 AM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:17 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:21 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:30 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:34 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:42 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:46 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:55 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:35:59 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:37:18 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:37:22 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:37:26 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:37:30 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:40:29 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:40:33 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:40:37 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:40:45 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:40:50 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:50:02 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:50:06 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:50:11 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:51:57 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:52:01 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:02 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:06 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:16 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:20 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:24 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:33 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:37 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 6:57:41 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:00:50 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:00:54 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:00:58 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:01:06 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:01:10 PM
Exception "Unable to connect to any of the specified MySQL hosts." thrown at 8/31/2022 7:01:14 PM
